Date,MealPeriod,RevenueCenterName,TotalCheckAmount
2023-01-12,Lunch,RevenueCenter_2,339.0
2023-01-12,Lunch,RevenueCenter_3,1738.25
2023-01-12,Lunch,RevenueCenter_4,0.0
2023-01-12,Lunch,RevenueCenter_5,525.0
2023-01-12,Lunch,RevenueCenter_6,562.0
2023-01-12,Lunch,RevenueCenter_7,237.0
2023-01-12,Lunch,RevenueCenter_8,0.0
2023-01-12,Lunch,RevenueCenter_9,310.0
2023-01-13,BreakFast,RevenueCenter_1,1278.0
2023-01-13,BreakFast,RevenueCenter_2,262.5
2023-01-13,BreakFast,RevenueCenter_3,1052.0
2023-01-13,BreakFast,RevenueCenter_4,0.0
2023-01-13,BreakFast,RevenueCenter_5,11347.0
2023-01-13,BreakFast,RevenueCenter_6,30.0
2023-01-13,BreakFast,RevenueCenter_7,51.0
2023-01-13,BreakFast,RevenueCenter_8,0.0
2023-01-13,BreakFast,RevenueCenter_9,0.0
2023-01-13,Dinner,RevenueCenter_1,1326.3
2023-01-13,Dinner,RevenueCenter_2,984.0
2023-01-13,Dinner,RevenueCenter_3,7925.5
2023-01-13,Dinner,RevenueCenter_4,0.0
2023-01-13,Dinner,RevenueCenter_5,10272.74
2023-01-13,Dinner,RevenueCenter_6,464.6
2023-01-13,Dinner,RevenueCenter_7,21.0
2023-01-13,Dinner,RevenueCenter_8,12250.0
2023-01-13,Dinner,RevenueCenter_9,160.0
2023-01-13,Lunch,RevenueCenter_1,642.0
2023-01-13,Lunch,RevenueCenter_2,618.0
2023-01-13,Lunch,RevenueCenter_3,1002.0
2023-01-13,Lunch,RevenueCenter_4,0.0
2023-01-13,Lunch,RevenueCenter_5,1290.25
2023-01-13,Lunch,RevenueCenter_6,306.0
2023-01-13,Lunch,RevenueCenter_7,0.0
2023-01-13,Lunch,RevenueCenter_8,0.0
2023-01-13,Lunch,RevenueCenter_9,105.0
2023-01-14,BreakFast,RevenueCenter_1,628.0
2023-01-14,BreakFast,RevenueCenter_2,50.0
2023-01-14,BreakFast,RevenueCenter_3,1158.0
2023-01-14,BreakFast,RevenueCenter_4,0.0
2023-01-14,BreakFast,RevenueCenter_5,12293.0
2023-01-14,BreakFast,RevenueCenter_6,30.0
2023-01-14,BreakFast,RevenueCenter_7,0.0
2023-01-14,BreakFast,RevenueCenter_8,0.0
2023-01-14,BreakFast,RevenueCenter_9,0.0
2023-01-14,Dinner,RevenueCenter_1,1780.0
2023-01-14,Dinner,RevenueCenter_2,677.5
2023-01-14,Dinner,RevenueCenter_3,11448.25
2023-01-14,Dinner,RevenueCenter_4,0.0
2023-01-14,Dinner,RevenueCenter_5,1370.0
2023-01-14,Dinner,RevenueCenter_6,511.0
2023-01-14,Dinner,RevenueCenter_7,0.0
2023-01-14,Dinner,RevenueCenter_8,0.0
2023-01-14,Dinner,RevenueCenter_9,540.0
2023-01-14,Lunch,RevenueCenter_1,240.0
2023-01-14,Lunch,RevenueCenter_2,377.0
2023-01-14,Lunch,RevenueCenter_3,2703.0
2023-01-14,Lunch,RevenueCenter_4,0.0
2023-01-14,Lunch,RevenueCenter_5,1435.0
2023-01-14,Lunch,RevenueCenter_6,169.0
2023-01-14,Lunch,RevenueCenter_7,0.0
2023-01-14,Lunch,RevenueCenter_8,1850.0
2023-01-14,Lunch,RevenueCenter_9,0.0
2023-01-15,BreakFast,RevenueCenter_1,1220.0
2023-01-15,BreakFast,RevenueCenter_2,35.0
2023-01-15,BreakFast,RevenueCenter_3,340.0
2023-01-15,BreakFast,RevenueCenter_4,0.0
2023-01-15,BreakFast,RevenueCenter_5,15294.0
2023-01-15,BreakFast,RevenueCenter_6,0.0
2023-01-15,BreakFast,RevenueCenter_7,0.0
2023-01-15,BreakFast,RevenueCenter_8,0.0
2023-01-15,BreakFast,RevenueCenter_9,405.0
2023-01-15,Dinner,RevenueCenter_1,2318.0
2023-01-15,Dinner,RevenueCenter_2,494.0
2023-01-15,Dinner,RevenueCenter_3,8652.25
2023-01-15,Dinner,RevenueCenter_4,0.0
2023-01-15,Dinner,RevenueCenter_5,726.0
2023-01-15,Dinner,RevenueCenter_6,145.0
2023-01-15,Dinner,RevenueCenter_7,0.0
2023-01-15,Dinner,RevenueCenter_8,0.0
2023-01-15,Dinner,RevenueCenter_9,155.0
2023-01-15,Lunch,RevenueCenter_1,354.8
2023-01-15,Lunch,RevenueCenter_2,250.0
2023-01-15,Lunch,RevenueCenter_3,1731.0
2023-01-15,Lunch,RevenueCenter_4,0.0
2023-01-15,Lunch,RevenueCenter_5,510.0
2023-01-15,Lunch,RevenueCenter_6,0.0
2023-01-15,Lunch,RevenueCenter_7,82.0
2023-01-15,Lunch,RevenueCenter_8,1850.0
2023-01-15,Lunch,RevenueCenter_9,0.0
2023-01-16,BreakFast,RevenueCenter_1,420.0
2023-01-16,BreakFast,RevenueCenter_2,236.0
2023-01-16,BreakFast,RevenueCenter_3,0.0
2023-01-16,BreakFast,RevenueCenter_4,0.0
2023-01-16,BreakFast,RevenueCenter_5,13783.0
2023-01-16,BreakFast,RevenueCenter_6,0.0
2023-01-16,BreakFast,RevenueCenter_7,0.0
2023-01-16,BreakFast,RevenueCenter_8,0.0
2023-01-16,BreakFast,RevenueCenter_9,0.0
2023-01-16,Dinner,RevenueCenter_1,2396.0
2023-01-16,Dinner,RevenueCenter_2,457.0
2023-01-16,Dinner,RevenueCenter_3,7995.7
2023-01-16,Dinner,RevenueCenter_4,0.0
2023-01-16,Dinner,RevenueCenter_5,1774.0
2023-01-16,Dinner,RevenueCenter_6,903.0
2023-01-16,Dinner,RevenueCenter_7,280.0
2023-01-16,Dinner,RevenueCenter_8,13870.0
2023-01-16,Dinner,RevenueCenter_9,0.0
2023-01-16,Lunch,RevenueCenter_1,284.0
2023-01-16,Lunch,RevenueCenter_2,868.0
2023-01-16,Lunch,RevenueCenter_3,509.0
2023-01-16,Lunch,RevenueCenter_4,0.0
2023-01-16,Lunch,RevenueCenter_5,4625.0
2023-01-16,Lunch,RevenueCenter_6,603.0
2023-01-16,Lunch,RevenueCenter_7,16.0
2023-01-16,Lunch,RevenueCenter_8,0.0
2023-01-16,Lunch,RevenueCenter_9,425.0
2023-01-17,BreakFast,RevenueCenter_1,330.0
2023-01-17,BreakFast,RevenueCenter_2,210.0
2023-01-17,BreakFast,RevenueCenter_3,345.0
2023-01-17,BreakFast,RevenueCenter_4,0.0
2023-01-17,BreakFast,RevenueCenter_5,17330.0
2023-01-17,BreakFast,RevenueCenter_6,30.0
2023-01-17,BreakFast,RevenueCenter_7,0.0
2023-01-17,BreakFast,RevenueCenter_8,0.0
2023-01-17,BreakFast,RevenueCenter_9,70.0
2023-01-17,Dinner,RevenueCenter_1,1672.5
2023-01-17,Dinner,RevenueCenter_2,267.0
2023-01-17,Dinner,RevenueCenter_3,8128.75
2023-01-17,Dinner,RevenueCenter_4,0.0
2023-01-17,Dinner,RevenueCenter_5,2472.0
2023-01-17,Dinner,RevenueCenter_6,533.0
2023-01-17,Dinner,RevenueCenter_7,0.0
2023-01-17,Dinner,RevenueCenter_8,40990.0
2023-01-17,Dinner,RevenueCenter_9,0.0
2023-01-17,Lunch,RevenueCenter_1,496.0
2023-01-17,Lunch,RevenueCenter_2,240.0
2023-01-17,Lunch,RevenueCenter_3,285.0
2023-01-17,Lunch,RevenueCenter_4,0.0
2023-01-17,Lunch,RevenueCenter_5,525.0
2023-01-17,Lunch,RevenueCenter_6,341.0
2023-01-17,Lunch,RevenueCenter_7,0.0
2023-01-17,Lunch,RevenueCenter_8,9460.0
2023-01-17,Lunch,RevenueCenter_9,350.0
2023-01-18,BreakFast,RevenueCenter_1,1157.0
2023-01-18,BreakFast,RevenueCenter_2,447.0
2023-01-18,BreakFast,RevenueCenter_3,195.0
2023-01-18,BreakFast,RevenueCenter_4,0.0
2023-01-18,BreakFast,RevenueCenter_5,17257.0
2023-01-18,BreakFast,RevenueCenter_6,216.0
2023-01-18,BreakFast,RevenueCenter_7,64.0
2023-01-18,BreakFast,RevenueCenter_8,0.0
2023-01-18,BreakFast,RevenueCenter_9,0.0
2023-01-18,Dinner,RevenueCenter_1,1363.5
2023-01-18,Dinner,RevenueCenter_2,341.0
2023-01-18,Dinner,RevenueCenter_3,6081.75
2023-01-18,Dinner,RevenueCenter_4,0.0
2023-01-18,Dinner,RevenueCenter_5,765.0
2023-01-18,Dinner,RevenueCenter_6,659.0
2023-01-18,Dinner,RevenueCenter_7,16.0
2023-01-18,Dinner,RevenueCenter_8,53085.0
2023-01-18,Dinner,RevenueCenter_9,110.0
2023-01-18,Lunch,RevenueCenter_1,694.0
2023-01-18,Lunch,RevenueCenter_2,433.5
2023-01-18,Lunch,RevenueCenter_3,1124.0
2023-01-18,Lunch,RevenueCenter_4,0.0
2023-01-18,Lunch,RevenueCenter_5,1055.0
2023-01-18,Lunch,RevenueCenter_6,141.0
2023-01-18,Lunch,RevenueCenter_7,0.0
2023-01-18,Lunch,RevenueCenter_8,0.0
2023-01-18,Lunch,RevenueCenter_9,20.0
2023-01-19,BreakFast,RevenueCenter_1,447.8
2023-01-19,BreakFast,RevenueCenter_2,594.0
2023-01-19,BreakFast,RevenueCenter_3,0.0
2023-01-19,BreakFast,RevenueCenter_4,0.0
2023-01-19,BreakFast,RevenueCenter_5,18672.0
2023-01-19,BreakFast,RevenueCenter_6,163.0
2023-01-19,BreakFast,RevenueCenter_7,0.0
2023-01-19,BreakFast,RevenueCenter_8,0.0
2023-01-19,BreakFast,RevenueCenter_9,110.0
2023-01-19,Dinner,RevenueCenter_1,1342.0
2023-01-19,Dinner,RevenueCenter_2,300.0
2023-01-19,Dinner,RevenueCenter_3,9774.5
2023-01-19,Dinner,RevenueCenter_4,0.0
2023-01-19,Dinner,RevenueCenter_5,1181.0
2023-01-19,Dinner,RevenueCenter_6,1224.0
2023-01-19,Dinner,RevenueCenter_7,0.0
2023-01-19,Dinner,RevenueCenter_8,2400.0
2023-01-19,Dinner,RevenueCenter_9,50.0
2023-01-19,Lunch,RevenueCenter_1,280.0
2023-01-19,Lunch,RevenueCenter_2,898.0
2023-01-19,Lunch,RevenueCenter_3,1262.25
2023-01-19,Lunch,RevenueCenter_4,0.0
2023-01-19,Lunch,RevenueCenter_5,160.0
2023-01-19,Lunch,RevenueCenter_6,399.0
2023-01-19,Lunch,RevenueCenter_7,0.0
2023-01-19,Lunch,RevenueCenter_8,15830.0
2023-01-19,Lunch,RevenueCenter_9,160.0
2023-01-20,BreakFast,RevenueCenter_1,874.0
2023-01-20,BreakFast,RevenueCenter_2,56.0
2023-01-20,BreakFast,RevenueCenter_3,180.0
2023-01-20,BreakFast,RevenueCenter_4,0.0
2023-01-20,BreakFast,RevenueCenter_5,14022.0
2023-01-20,BreakFast,RevenueCenter_6,0.0
2023-01-20,BreakFast,RevenueCenter_7,500.0
2023-01-20,BreakFast,RevenueCenter_8,0.0
